State,Year,med_legal_year,rec_legal_year,burglary_total,mv_theft_total,drug_vio_total,larceny_total,agg_assault_total,homicide_total,robbery_total,unem_rate,pop_est,poverty_rate,med_house_income,educ_attainment
Pennsylvania,2005,2016,,53282,28196,0,198854,27561,747,18715,5.2,12449990,11.9,46300,86.7
Pennsylvania,2006,2016,,55205,28706,0,204605,28279,731,20597,4.8,12510809,12,48480,86.2
Pennsylvania,2007,2016,,54712,26043,0,204689,27534,725,19221,4.5,12563937,11.6,48440,86.8
Pennsylvania,2008,2016,,57980,22276,0,215279,27580,703,18759,4.8,12612285,12.1,51400,87.5
Pennsylvania,2009,2016,,54394,17750,0,202978,26246,664,17452,7.1,12666858,12.5,48170,87.9
Pennsylvania,2010,2016,,54829,16632,0,202667,25871,654,16322,8.4,12711406,13.4,48310,88.4
Pennsylvania,2011,2016,,57682,16818,0,207408,25902,639,16120,7.7,12747052,13.7,49910,88.6
Pennsylvania,2012,2016,,57013,15105,0,204254,25558,707,15732,7.5,12769123,13.7,51900,88.9
Pennsylvania,2013,2016,,51859,13735,1,196687,23618,611,14720,7.5,12779538,13.7,55160,89.2
Pennsylvania,2014,2016,,45642,13036,15,187821,22259,610,13535,6.5,12792392,13.6,55170,89.4
Pennsylvania,2015,2016,,39459,12113,17,179600,22372,666,12952,5.5,12789838,13.1,60390,89.7
Pennsylvania,2016,2016,,35057,13038,13,173404,22868,675,12291,5.3,12788468,12.9,60980,90.1
Pennsylvania,2017,2016,,31899,12939,625,165143,23281,743,11762,5.2,12794679,12.5,61290,90.6
Pennsylvania,2018,2016,,27078,13125,543,150262,24035,783,9846,4.8,12809107,12.2,64520,91
Pennsylvania,2019,2016,,22023,11717,525,135414,22840,655,9158,4.3,12798883,12,70580,91
Pennsylvania,2020,2016,,17356,13158,609,111061,21932,870,7760,4.4,12996143,10.9,70790,91.6
Pennsylvania,2021,2016,,11004,11151,22778,61055,13097,764,5452,7.3,13015571,12,72630,91.9
Pennsylvania,2022,2016,,16596,19234,17988,126152,19426,944,8144,4.3,12984990,11.8,72210,92.2
Pennsylvania,2023,2016,,17439,33936,19751,146561,21677,866,8066,3.9,13017721,11.9,79820,92.2
,,,,,,,,,,,,,,,
Rhode Island,2005,2007,2022,5285,4388,0,19457,1572,34,774,4.8,1067916,11.9,49480,83.5
Rhode Island,2006,2007,2022,5453,3609,0,18852,1404,27,740,5.4,1063096,11.5,53740,82.4
Rhode Island,2007,2007,2022,5195,3192,18,19129,1384,19,759,4.8,1057315,11.9,54210,83
Rhode Island,2008,2007,2022,5766,3203,46,20926,1463,31,880,6.1,1055003,12.1,53240,83.7
Rhode Island,2009,2007,2022,5753,2402,21,19403,1565,32,785,10,1053646,12,51630,84.7
Rhode Island,2010,2007,2022,6124,2403,281,18432,1600,29,782,11.8,1053994,14.1,51620,83.5
Rhode Island,2011,2007,2022,6836,2375,567,18765,1503,20,744,11.3,1053829,14.7,49030,84.8
Rhode Island,2012,2007,2022,5929,2632,447,18474,1614,36,715,10.9,1054893,14.2,56070,86.1
Rhode Island,2013,2007,2022,5621,2239,626,17881,1547,31,683,9.6,1055560,14.7,56320,85.9
Rhode Island,2014,2007,2022,4830,1835,615,16317,1398,26,530,8.9,1056511,14.8,58630,85.8
Rhode Island,2015,2007,2022,3938,1386,633,14714,1520,31,547,6.5,1056886,14.1,55700,87.7
Rhode Island,2016,2007,2022,3650,1103,617,14157,1514,29,541,5.6,1057816,13.3,61530,88.5
Rhode Island,2017,2007,2022,3220,1484,3507,13881,1525,21,474,4.6,1056554,12.3,65400,88.3
Rhode Island,2018,2007,2022,2816,1538,3577,13271,1362,16,452,4.5,1059338,12.8,62270,89.1
Rhode Island,2019,2007,2022,2316,1363,2967,12627,1411,25,421,3.8,1058158,11.6,70150,89.3
Rhode Island,2020,2007,2022,1760,1511,2263,9915,1647,31,336,3.5,1096530,10.6,80170,90.1
Rhode Island,2021,2007,2022,1506,1649,2552,10307,1417,37,277,6.6,1097246,12.1,74980,89.1
Rhode Island,2022,2007,2022,1508,1748,1957,10910,1187,18,268,3.5,1099498,11.2,80650,90.5
Rhode Island,2023,2007,2022,1299,1540,1718,9463,1171,29,242,2.9,1103429,11.4,81860,89.6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Utah,2005,2018,,14940,8492,2703,71840,3528,55,1106,4,2457719,10.5,54810,90.1
Utah,2006,2018,,14496,8272,2714,65534,3525,51,1235,2.9,2525507,10.7,54630,90.2
Utah,2007,2018,,15417,8853,3672,67848,3867,58,1422,2.6,2597746,9.8,53530,90.2
Utah,2008,2018,,14589,7259,3498,69692,3736,41,1417,3.3,2663029,9.7,62540,90.4
Utah,2009,2018,,15095,6904,3622,69004,3680,39,1301,7.6,2723421,11.7,58490,90.4
Utah,2010,2018,,14906,5940,3209,66601,3572,53,1267,8.3,2775413,13.3,56700,90.6
Utah,2011,2018,,12974,6149,3203,64053,3467,50,1078,7.2,2814797,13.6,55490,90.3
Utah,2012,2018,,12785,5902,4056,65478,3706,53,1070,4.8,2854146,13,58340,91
Utah,2013,2018,,13603,7432,4584,66463,3781,51,1241,4.2,2898773,12.6,61050,91.5
Utah,2014,2018,,11296,7117,5706,64502,3440,66,1277,3.6,2938327,11.8,63380,91.4
Utah,2015,2018,,12509,8665,6182,67959,4011,57,1323,3.5,2983626,11.2,66260,91.5
Utah,2016,2018,,12761,9236,7888,67437,4175,74,1516,3.3,3044241,10.2,67480,91.7
Utah,2017,2018,,11648,9213,21118,64242,4100,68,1462,3.2,3103540,9.7,69790,92.1
Utah,2018,2018,,9758,7592,21000,56606,4263,61,1214,2.9,3155153,9.1,77070,92.4
Utah,2019,2018,,8439,6628,19053,52843,4391,72,1113,2.5,3203383,8.8,84520,93
Utah,2020,2018,,8780,9367,18647,56431,4707,96,1196,4.8,3284077,7.3,83990,94
Utah,2021,2018,,7757,8374,21211,51781,5023,75,1072,2.8,3339738,8.7,87650,93.2
Utah,2022,2018,,7020,7136,22076,50201,5029,80,996,2.4,3391011,8.3,95800,93
Utah,2023,2018,,6203,5060,22251,44548,5040,78,896,2.7,3443222,9,101200,93.1
,,,,,,,,,,,,,,,
Vermont,2005,2004,2018,3065,642,22,10383,519,8,72,3.5,621215,10.4,50700,89.5
Vermont,2006,2004,2018,3391,610,0,10671,599,14,113,3.7,622892,10.2,51980,89.8
Vermont,2007,2004,2018,3130,639,0,10666,567,13,80,3.9,623481,10.1,47390,90.3
Vermont,2008,2004,2018,3492,583,14,11766,609,17,93,4.5,624151,10.4,50710,90.6
Vermont,2009,2004,2018,3440,446,0,11040,582,8,111,6.5,624817,11.5,52320,91
Vermont,2010,2004,2018,3285,433,0,10181,587,7,75,6.2,625886,12.4,55930,91
Vermont,2011,2004,2018,3781,523,13,10554,662,11,97,5.4,627197,11.9,51860,91.8
Vermont,2012,2004,2018,4142,458,172,10909,628,8,112,4.8,626361,11.9,55580,91.7
Vermont,2013,2004,2018,3243,336,236,9743,550,10,75,4.4,626603,12.3,65510,91.5
Vermont,2014,2004,2018,2062,187,164,7227,438,10,71,3.9,625693,12,60710,92
Vermont,2015,2004,2018,2037,185,135,6964,481,11,115,3.5,625810,10.4,59490,91.7
Vermont,2016,2004,2018,1804,173,430,7246,550,13,82,3.1,624366,11.3,60840,92.1
Vermont,2017,2004,2018,2009,233,1752,7166,703,16,103,2.9,625132,10.8,63680,92.6
Vermont,2018,2004,2018,1501,268,1525,6435,696,12,76,2.5,624802,10.7,70070,93.5
Vermont,2019,2004,2018,1293,306,1356,7365,874,12,71,2.1,624046,10.1,74310,93.1
Vermont,2020,2004,2018,1051,279,1184,6580,788,14,74,5.6,642977,9.4,67260,94.2
Vermont,2021,2004,2018,1178,480,1182,7297,860,9,73,3.6,647210,10.2,76080,94.5
Vermont,2022,2004,2018,1016,632,1067,9351,1055,22,92,2.4,648142,10.2,72190,95
Vermont,2023,2004,2018,919,595,1211,10181,1052,17,94,1.9,648708,9.9,85190,95.5
,,,,,,,,,,,,,,,
Virginia,2005,2020,2021,30346,16072,3083,153157,11561,458,7454,3.5,7577105,10,51910,85.4
Virginia,2006,2020,2021,31920,14684,5743,142149,11584,402,7727,3.1,7673725,9.6,57120,85.4
Virginia,2007,2020,2021,31903,14052,4786,145199,11100,415,7681,3.1,7751000,9.9,59160,85.9
Virginia,2008,2020,2021,32178,13345,5858,151153,10393,370,7470,4.1,7833496,10.2,61990,85.9
Virginia,2009,2020,2021,31906,11662,8763,150024,9870,370,6319,6.8,7925937,10.6,60500,86.6
Virginia,2010,2020,2021,30782,10610,10593,145925,9547,375,5678,6.8,8024004,11.1,60370,86.5
Virginia,2011,2020,2021,30697,9771,12388,142410,8692,304,5424,6.3,8102437,11.6,62620,87.8
Virginia,2012,2020,2021,29633,9121,14431,139513,9117,322,4717,5.8,8187456,11.8,64630,87.9
Virginia,2013,2020,2021,26703,8621,15887,136161,9101,320,4573,5.5,8255861,11.7,65910,88.4
Virginia,2014,2020,2021,23187,7714,17410,130763,9453,350,4289,5.1,8315430,11.8,66160,88.5
Virginia,2015,2020,2021,21531,8194,18955,127996,9352,390,4458,4.4,8367303,11.2,61490,88.9
Virginia,2016,2020,2021,20062,9753,23465,126821,10325,482,4791,4,8417651,11,66450,89.3
Virginia,2017,2020,2021,18425,10150,60894,123413,9988,442,4300,3.6,8471011,10.7,70810,89.7
Virginia,2018,2020,2021,15643,10782,64750,116306,10282,409,3616,3,8510920,10.7,77150,89.9
Virginia,2019,2020,2021,13967,10313,63106,116634,11069,441,3525,2.7,8556642,9.9,81310,90
Virginia,2020,2020,2021,11553,10991,47899,103924,12343,539,2968,6.5,8637615,9.2,82210,91.4
Virginia,2021,2020,2021,10594,11484,29814,103751,13194,579,2928,3.8,8658910,10.3,80270,91.4
Virginia,2022,2020,2021,11131,13978,27508,123879,13908,643,3362,2.7,8683414,10.6,85170,91.5
Virginia,2023,2020,2021,10749,15134,30366,119894,14377,537,3305,2.7,8734685,10.2,96490,91.4
,,,,,,,,,,,,,,,
Washington,2005,1998,2012,60099,49152,0,197020,12881,205,5775,5.6,6257305,12,50650,88.8
Washington,2006,1998,2012,58654,46251,182,182553,12867,197,6415,5,6370753,11.8,54720,89
Washington,2007,1998,2012,52746,38072,3114,170396,12844,174,6074,4.6,6461587,11.4,58080,89.3
Washington,2008,1998,2012,53014,29085,3664,166624,12583,193,6409,5.2,6562231,11.3,56630,89.6
Washington,2009,1998,2012,51934,23224,1393,166003,12562,187,6622,9,6667426,12.3,60390,89.7
Washington,2010,1998,2012,54937,25612,1064,167350,12322,154,5914,10,6743009,13.5,56160,89.8
Washington,2011,1998,2012,55688,24493,2518,161140,11896,162,5590,9.4,6827479,13.9,56850,90.1
Washington,2012,1998,2012,59854,26186,3705,164188,12059,213,5742,8.4,6898599,13.6,62190,90.4
Washington,2013,1998,2012,57840,28178,2787,170930,11531,166,5806,6.6,6966252,14.1,63920,90.1
Washington,2014,1998,2012,55284,30587,2388,175863,11615,178,5640,5.9,7057531,13.2,59070,90.4
Washington,2015,1998,2012,50975,26990,2286,170963,11990,218,5441,5.4,7167287,12.2,67240,90.8
Washington,2016,1998,2012,48895,31935,4339,172413,13030,195,5620,5.2,7299961,11.3,70310,90.8
Washington,2017,1998,2012,43515,29246,19063,161574,13557,226,5366,4.6,7427951,11,71540,91.3
Washington,2018,1998,2012,39874,27509,20440,153304,14177,240,5531,4.4,7526793,10.3,79730,91.6
Washington,2019,1998,2012,34814,24728,20114,147072,14009,206,5346,4.2,7614024,9.8,82450,91.7
Washington,2020,1998,2012,40566,28033,15467,145005,14561,308,5210,8.7,7727209,9.5,81360,92.1
Washington,2021,1998,2012,41138,35646,6268,157315,16779,333,5724,5.2,7743760,9.9,87650,92.3
Washington,2022,1998,2012,43721,49855,7079,167882,19073,399,6759,4.1,7794123,10,89430,92.2
Washington,2023,1998,2012,37583,53270,11039,134983,18242,380,6405,4.2,7857320,10.3,93440,92.4
,,,,,,,,,,,,,,,
West Virginia,2005,2017,,10534,3567,27,30248,3457,78,770,5,1820492,18,36450,81.2
West Virginia,2006,2017,,10832,3690,4,30049,3515,75,807,4.8,1827912,17.6,38420,81
West Virginia,2007,2017,,10078,3239,2,28906,3436,61,801,4.5,1834052,17.1,42090,81.2
West Virginia,2008,2017,,10088,2949,17,29329,3396,64,837,4.5,1840310,17.4,37990,82.2
West Virginia,2009,2017,,10780,2526,44,28201,3705,77,844,8,1847775,17.8,40490,82.8
West Virginia,2010,2017,,9322,2146,270,23705,3708,57,672,8.4,1854265,18.2,42780,83.2
West Virginia,2011,2017,,9209,1873,208,23173,3762,84,713,7.7,1856606,18.7,41820,84.2
West Virginia,2012,2017,,10862,2142,315,27715,4184,69,776,7.2,1857446,18,43550,84.5
West Virginia,2013,2017,,8230,1668,234,22840,3565,58,536,6.7,1854768,18.4,43070,84.6
West Virginia,2014,2017,,7231,1598,376,21390,3755,73,462,6.5,1850569,18.3,39550,85.2
West Virginia,2015,2017,,7381,1801,379,21328,4039,71,574,6.5,1843332,18,42820,86
West Virginia,2016,2017,,8162,2286,505,22104,4577,80,658,6.1,1832435,17.9,44350,86
West Virginia,2017,2017,,6953,2747,12396,19900,4586,97,512,5.2,1818683,18.5,46960,87.1
West Virginia,2018,2017,,5183,1927,11041,15987,3697,77,314,5.1,1805953,17.4,50570,87.8
West Virginia,2019,2017,,4658,1946,10989,15073,3572,94,269,4.9,1795263,16.2,53710,87.1
West Virginia,2020,2017,,4499,2105,11227,15826,3777,125,324,8.3,1791646,15.8,51970,89.1
West Virginia,2021,2017,,3502,1867,12198,15600,3440,112,209,5.1,1785618,16.8,46840,88.8
West Virginia,2022,2017,,3339,1578,10113,15804,3492,93,196,3.9,1774122,17.4,52460,89.1
West Virginia,2023,2017,,3078,1558,10200,14930,3339,93,201,3.9,1770495,16.4,60410,89
